0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,0,0,0,0,0,0,0.045486,0.512316,1.031814,1.479492,1.793106,0.880992,0.866628,1.264032,0.749322,0.509922,0.337554,0,0,0,0,0,0
0,0,0,0,0,0,0,0.04788,0.50274,1.034208,1.477098,1.773954,1.953504,1.922382,1.714104,1.323882,0.749322,0.342342,0,0,0,0,0,0
0,0,0,0,0,0,0,0.04788,0.517104,1.038996,1.486674,1.781136,1.896048,1.869714,1.671012,1.319094,0.87381,0.349524,0,0,0,0,0,0
0,0,0,0,0,0,0,0.04788,0.519498,1.04139,1.491462,1.812258,1.965474,1.936746,1.728468,1.362186,0.880992,0.354312,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.521892,1.046178,1.498644,1.81944,1.972656,1.946322,1.738044,1.371762,0.888174,0.361494,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.524286,1.048572,1.498644,1.824228,1.97505,1.946322,1.740438,1.378944,0.89775,0.368676,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.52668,1.043784,1.503432,1.821834,1.970262,1.943928,1.750014,1.383732,0.900144,0.373464,0,0,0,0,0,0
0,0,0,0,0,0,0,0.052668,0.519498,1.048572,1.513008,1.838592,1.996596,1.970262,1.761984,1.395702,0.912114,0.380646,0,0,0,0,0,0
0,0,0,0,0,0,0,0.052668,0.524286,1.060542,1.517796,1.845774,2.003778,1.977444,1.769166,1.402884,0.902538,0.385434,0,0,0,0,0,0
0,0,0,0,0,0,0,0.050274,0.421344,1.058148,1.522584,1.781136,1.970262,1.946322,1.778742,1.41246,0.926478,0.392616,0,0,0,0,0,0
0,0,0,0,0,0,0,0.057456,0.53865,1.070118,1.529766,1.860138,2.018142,1.994202,1.788318,1.419642,0.93366,0.397404,0,0,0,0,0,0
0,0,0,0,0,0,0,0.055062,0.541044,1.074906,1.529766,1.862532,2.02293,2.003778,1.7955,1.417248,0.940842,0.387828,0,0,0,0,0,0
0,0,0,0,0,0,0,0.057456,0.545832,1.070118,1.536948,1.872108,2.032506,2.01096,1.805076,1.4364,0.93366,0.409374,0.002394,0,0,0,0,0
0,0,0,0,0,0,0,0.05985,0.55062,1.086876,1.54413,1.881684,2.042082,2.020536,1.812258,1.4364,0.943236,0.402192,0.004788,0,0,0,0,0
0,0,0,0,0,0,0,0.062244,0.543438,1.084482,1.551312,1.876896,2.051658,2.027718,1.821834,1.44837,0.952812,0.409374,0.004788,0,0,0,0,0
0,0,0,0,0,0,0,0.067032,0.557802,1.098846,1.563282,1.896048,2.061234,2.037294,1.829016,1.457946,0.962388,0.41895,0.007182,0,0,0,0,0
0,0,0,0,0,0,0,0.069426,0.56259,1.103634,1.56807,1.905624,2.068416,2.04687,1.829016,1.467522,0.976752,0.426132,0.009576,0,0,0,0,0
0,0,0,0,0,0,0,0.062244,0.567378,1.110816,1.577646,1.905624,2.077992,2.039688,1.840986,1.477098,0.983934,0.438102,0.01197,0,0,0,0,0
0,0,0,0,0,0,0,0.067032,0.57456,1.115604,1.584828,1.9152,2.085174,2.063628,1.85535,1.48428,0.991116,0.440496,0.01197,0,0,0,0,0
0,0,0,0,0,0,0,0.076608,0.579348,1.122786,1.59201,1.929564,2.09475,2.061234,1.864926,1.491462,0.998298,0.450072,0.014364,0,0,0,0,0
0,0,0,0,0,0,0,0.079002,0.579348,1.127574,1.601586,1.936746,2.099538,2.080386,1.872108,1.491462,1.00548,0.45486,0.016758,0,0,0,0,0
0,0,0,0,0,0,0,0.079002,0.58653,1.13715,1.599192,1.931958,2.111508,2.089962,1.881684,1.501038,1.012662,0.459648,0.016758,0,0,0,0,0
0,0,0,0,0,0,0,0.086184,0.579348,1.132362,1.608768,1.953504,2.121084,2.09475,1.888866,1.515402,1.00548,0.45486,0.019152,0,0,0,0,0
0,0,0,0,0,0,0,0.090972,0.600894,1.139544,1.623132,1.96308,2.128266,2.10672,1.898442,1.52019,1.024632,0.471618,0.021546,0,0,0,0,0
0,0,0,0,0,0,0,0.093366,0.608076,1.158696,1.632708,1.970262,2.128266,2.099538,1.87929,1.529766,1.00548,0.469224,0.002394,0,0,0,0,0
0,0,0,0,0,0,0,0.098154,0.612864,1.165878,1.625526,1.958292,2.140236,2.111508,1.910412,1.536948,1.038996,0.481194,0.002394,0,0,0,0,0
